Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID,Verified
A8141,x,Chordaria,gracilis,United States,1960 Jun 20,Tom B. Widdowson,624EDFF5-E33E-7C44-9654-296E702B8509,11/10/2019
A9721,x,Chordaria,gracilis,United States,1960 Jun 26,Tom B. Widdowson,72CB1AFB-4981-4140-928F-CB1AC93018CF,11/10/2019
A9827,x,Chordaria,gracilis,United States,1960 Jul 13,Tom B. Widdowson,AAFB14FA-6B04-4A4B-8A7F-0F209767688B,11/10/2019
A86578,x,Chordaria,gracilis,United States,2005 Jun 22,Sandra C. Lindstrom,AC300E6F-7FBD-A846-9D8A-217CD1DF9E5E,11/10/2019
A90196,x,Chordaria,gracilis,United States,2012 Sep 01,Sandra C. Lindstrom,3222E617-C4AD-D241-A7DC-90B469F398EE,11/10/2019
A91183,x,Chordaria,gracilis,United States,2009 Aug 09,David Ward,CFD1AB5C-B692-CE48-9AA7-A65A4842B4FE,11/10/2019
A29080,x,Costaria,costata,NA,1967 May 25,NA,F9334F61-14EC-184C-A4EB-7C355EF5DA35,11/10/2019
A24917,x,Desmarestia,aculeata,NA,1966 Jun 02,NA,B1660C30-0A20-5F40-9050-68C17F1DA438,11/10/2019
A8950,x,Desmarestia,aculeata,NA,1983 Jul 31,NA,000A752C-1E76-3D4C-8745-0BC4435670B5,11/10/2019
A7230,x,Desmarestia,aculeata,NA,1981 Jul 29,NA,495853DC-EA5A-B844-A435-35E7D0791771,11/10/2019
A2357,x,Desmarestia,aculeata,NA,1956 Jul 23,NA,49C68E72-0EAA-E944-ABCD-19BEEECD6176,11/10/2019
A46940,x,Desmarestia,aculeata,NA,1972 May 16,NA,95E51630-C40F-054C-A079-2FB14797FA94,11/10/2019
A269,x,Desmarestia,aculeata,NA,1959 May 28,NA,A4CC19FF-D232-CE41-8E4B-DB5D4304D638,11/10/2019
A48734,x,Desmarestia,aculeata,NA,1972 Oct 20,NA,5EC2C1F8-B2C3-2543-827C-353BC948C79E,11/10/2019
A47190,x,Desmarestia,aculeata,NA,1972 Apr 24,NA,5AD5C3B4-CA80-0345-802D-65F5F20E89D1,11/10/2019
A36806,x,Desmarestia,aculeata,NA,1967 Jul 27,NA,BBA4881C-A3FD-1B42-BBD9-547C2D610E58,11/10/2019
A37706,x,Desmarestia,aculeata,NA,1967 Jul 11,NA,996336B9-3B0F-FF45-A58C-F5A441AAAE21,11/10/2019
A56404,x,Desmarestia,aculeata,NA,1960 Oct 04,NA,1D2B58C0-7006-7C47-8C2E-09B1C25DA833,11/10/2019
A23854,x,Desmarestia,aculeata,NA,1945 Jul 11,NA,261BB795-867A-AF4A-AF95-6B1B7CF77E5C,11/10/2019
A63642,x,Desmarestia,aculeata,NA,1843 Jan 06,NA,F8B37E30-C0BE-904C-AE95-BAC6077EF346,11/10/2019
A68993,x,Desmarestia,firma,NA,1963 Dec 31,NA,1A1B3B46-007B-374D-9D8D-92404987D218,11/10/2019
A46212,x,Desmarestia,firma,NA,1971 Jan 30,NA,38F3FD41-0FEE-494B-AD9C-42DFFB5A2A40,11/10/2019
A46213,x,Desmarestia,firma,NA,1971 Jan 30,NA,82ABE8DA-711D-D842-A14F-A19A7DEFCB63,11/10/2019
A46211,x,Desmarestia,firma,NA,1970 Sep 27,NA,7461C0DD-2199-CF4B-98E7-CDAF1F43E365,11/10/2019
A46210,x,Desmarestia,firma,NA,1971 Dec 03,NA,171C2D68-A992-F048-B9F1-ACE407739545,11/10/2019
A46208,x,Desmarestia,firma,NA,1970 Oct 18,NA,56DF8B2F-FA08-0C4C-A5A1-558199916A8B,11/10/2019
A46363,x,Desmarestia,firma,NA,1947 Jan 10,NA,998F117F-A5BA-5D46-A555-B98A4DBB5925,11/10/2019
A4676,x,Desmarestia,firma,NA,1947 Jan 10,NA,297E49F6-5EB3-F741-9F9F-F821E4D2CEE8,11/10/2019
A66729,x,Desmarestia,firma,NA,1981 Feb,NA,059E417D-DFB9-9744-950E-F013CEB37F76,11/10/2019
A84492,x,Desmarestia,foliacea,NA,2003 Aug 04-06,NA,0B568E5A-B317-1C48-94CA-267C7C26148B,11/10/2019
A84506,x,Desmarestia,foliacea,NA,2004 Aug 03,NA,78F7FD59-9277-254A-ACE9-EA892BC9CA9B,11/10/2019
A44387,x,Desmarestia,ligulata,NA,1970 Feb 05,NA,FFDBF85A-E5DB-DF40-A00E-996AA1FE2AFD,11/10/2019
A39091,x,Desmarestia,ligulata,NA,1968 Sep 03,NA,262727F0-0FE1-8246-B68F-095A030FCD08,11/10/2019
A38678,x,Desmarestia,ligulata,NA,1968 Sep 03,NA,08DD65B2-4C0E-4146-8E5A-D5C58E06118A,11/10/2019
A38122,x,Desmarestia,ligulata,NA,1968 Aug 28,NA,BB7E7F51-E2F5-0B4A-A45E-1F01E12552CA,11/10/2019
A38121,x,Desmarestia,ligulata,NA,1968 Aug 28,NA,2183420F-CE35-BA49-A7F0-C6F0C17618B3,11/10/2019
A37841,x,Desmarestia,ligulata,NA,1968 Aug 27,NA,DDFC3F9D-57F1-9B4B-A708-99CE4C761CF5,11/10/2019
A37336,x,Desmarestia,ligulata,NA,1968 Aug 23,NA,B4444E22-4657-3F47-B702-B40C5544A89E,11/10/2019
A36794,x,Desmarestia,ligulata,NA,1968 Aug 19,NA,C8D425B4-A135-7C43-9DF4-C01E3718999A,11/10/2019
A36793,x,Desmarestia,ligulata,NA,1968 Aug 17,NA,BD0192DD-174F-DA4C-ADE4-8FE0EEA45204,11/10/2019
A36298,x,Desmarestia,ligulata,NA,1968 Aug 16,NA,7BB7E7B5-F84E-A24B-A342-13FA6EFB09B4,11/10/2019
A35687,x,Desmarestia,ligulata,NA,1968 Aug 10,NA,AE50015D-D4CC-A24D-8CBA-0C5FE420CD69,11/10/2019
A15683,x,Desmarestia,ligulata,NA,1962 Jul 05,NA,72ABCD89-546C-6344-A9F8-3F60946E8710,11/10/2019
A54221,x,Desmarestia,ligulata,NA,1969 Sep 21,NA,085D36F2-5D94-B041-8A67-6B9199EC07BD,11/10/2019
A42898,x,Desmarestia,ligulata,NA,1970 Apr 11,NA,3616DEB6-9742-4846-A247-B5232EF73F22,11/10/2019
A5128,x,Desmarestia,ligulata,NA,1957 Jul 15,NA,D102F99D-F631-034A-A0FE-A38861493BE6,11/10/2019
A5120,x,Desmarestia,ligulata,NA,1957 Jul 15,NA,AC92DDBD-BE3C-EE4C-ABFD-07FBAA4363C8,11/10/2019
A42191,x,Desmarestia,ligulata,NA,1969 Aug 14,NA,E2910060-4339-8444-B4FF-06027764E43D,11/10/2019
A42192,x,Desmarestia,ligulata,NA,1969 Aug 14,NA,D7844B58-7A5B-C84D-9CDB-E26BDFE2853A,11/10/2019
A42193,x,Desmarestia,ligulata,NA,1969 Aug 14,NA,4AFC5362-9E51-2640-943C-B0AFEB6B1081,11/10/2019
A29631,x,Desmarestia,ligulata,NA,1967 May 25,NA,DE3C83AB-620E-CA4E-8F7D-BEFEE02A48EE,11/10/2019
A58536,x,Desmarestia,ligulata,NA,1977 May 26,NA,56270589-3308-D743-8D23-4C7F5C1D3D7C,11/10/2019
A23173,x,Desmarestia,ligulata,NA,1965 Jul 02,NA,B3189A2B-BC35-CA47-B580-067B183F5884,11/10/2019
A29518,x,Desmarestia,ligulata,NA,1967 May 24,NA,C7732BA4-8E9F-BF4E-AED3-8CA7C8050A4A,11/10/2019
A36146,x,Desmarestia,ligulata,NA,1968 Jul 12,NA,C913CDF7-FFB4-1E4E-892B-0C3F64B35438,11/10/2019
A29858,x,Desmarestia,ligulata,NA,1967 May 25,NA,E67BE3EC-48A8-224C-8582-F4F277BCB7E1,11/10/2019
A285,x,Desmarestia,ligulata,NA,1946 Jul 14,NA,339FD1A1-063E-F844-94C1-FEF92EB9FAB4,11/10/2019
A290,x,Desmarestia,ligulata,NA,1947 Jul 16,NA,A87225BE-8349-0B47-9261-9171213201FD,11/10/2019
A3068,x,Desmarestia,ligulata,NA,1946 Jun 16,NA,6F833889-11CE-5D4A-A7C7-0FB39E1C0809,11/10/2019
A3386,x,Desmarestia,ligulata,NA,1958 Jun 29,NA,47C4885F-3D0D-5E49-B2E2-A3D7E5252244,11/10/2019
A43701,x,Desmarestia,ligulata,NA,1970 Sep 12,NA,8DD02A14-86BE-164E-9C3D-01DF52C3F4D8,11/10/2019
A29669,x,Desmarestia,ligulata,NA,1967 May 25,NA,5F1F5E0C-BD2E-DA40-AEBC-A13BA5F32028,11/10/2019
A37846,x,Desmarestia,ligulata,NA,1968 Aug 27,NA,D06A8683-372D-4A43-97E4-3BD7687EF995,11/10/2019
A37845,x,Desmarestia,ligulata,NA,1968 Aug 27,NA,747A54EB-DF02-9748-BCEE-377225C0A0CE,11/10/2019
A54685,x,Desmarestia,ligulata,NA,1976 Mar 26,NA,A1D585CC-3329-A24B-845E-FE9CC9CB710A,11/10/2019
A37844,x,Desmarestia,ligulata,NA,1968 Aug 25,NA,72C9AB64-E889-D442-985F-1EDDF7330CA9,11/10/2019
A37340,x,Desmarestia,ligulata,NA,1968 Aug 21,NA,22E19C61-FFDA-E148-846C-899DE46F2333,11/10/2019
A36801,x,Desmarestia,ligulata,NA,1968 Aug 19,NA,00255D49-CC5D-BA48-A79C-0F678B88F63A,11/10/2019
A36802,x,Desmarestia,ligulata,NA,1968 Aug 18,NA,CFF4A1BF-FD53-7B4D-B8C2-3B613EC40A6F,11/10/2019
A36800,x,Desmarestia,ligulata,NA,1968 Aug 17,NA,B90BBC43-981E-834C-B936-E5CBE7EB3127,11/10/2019
A36799,x,Desmarestia,ligulata,NA,1968 Aug 15,NA,30F81D38-F6C3-8B45-BBE6-C0DC8B87199E,11/10/2019
A21364,x,Desmarestia,ligulata,NA,1965 Jul 06,NA,064DF368-E508-434B-8CDC-ACCADBAA17E5,11/10/2019
A21705,x,Desmarestia,ligulata,NA,1965 Jul 04,NA,4FB2FB21-9C2A-084B-8BEC-AC7B8A9136F0,11/10/2019
A18246,x,Desmarestia,ligulata,NA,1964 Jun 08,NA,88D3A31C-B37F-9B43-9FC5-B982E2CEBE2B,11/10/2019
A38130,x,Desmarestia,ligulata,NA,1968 Aug 30,NA,E236E682-C38E-BB46-94C8-7BE47169BDFC,11/10/2019
A38129,x,Desmarestia,ligulata,NA,1968 Aug 30,NA,F7343CAD-3703-F741-8740-CEB8686E166B,11/10/2019
A38128,x,Desmarestia,ligulata,NA,1968 Aug 30,NA,0787BBED-0424-AB45-A1C3-3D7085029665,11/10/2019
A38353,x,Desmarestia,ligulata,NA,1968 Aug 20,NA,FCB751C2-696B-7349-ABA7-87A24A5FE686,11/10/2019
A38127,x,Desmarestia,ligulata,NA,1968 Aug 28,NA,6B10B2DD-1EB6-774F-99B5-533453525FAA,11/10/2019
A38358,x,Desmarestia,ligulata,NA,1968 Sep 02,NA,07669321-942E-114B-AB88-3152C616FFF9,11/10/2019
A38355,x,Desmarestia,ligulata,NA,1968 Aug 31,NA,2620BB18-1964-BD44-8AEB-541A02A27171,11/10/2019
A38357,x,Desmarestia,ligulata,NA,1968 Aug 31,NA,C9E72775-F572-A54F-8C78-BF39DD88BE8F,11/10/2019
A38354,x,Desmarestia,ligulata,NA,1968 Aug 20,NA,9BE66469-5BCE-3144-9C8E-11E10A38E02A,11/10/2019
A38125,x,Desmarestia,ligulata,NA,1968 Aug 25,NA,DE751499-F394-2A4D-AFB2-7D0FF602E9D2,11/10/2019
A45023,x,Desmarestia,ligulata,NA,1968 Jan 21,NA,2893378D-2324-2349-BF16-BDA950113F36,11/10/2019
A45021,x,Desmarestia,ligulata,NA,1968 Jan 21,NA,A31BAF2D-A677-FD43-882B-BF7FEB53EB3E,11/10/2019
A5433,x,Desmarestia,ligulata,NA,1934 Jan 20,NA,FA2B758E-D52C-6145-8B4B-FB8EA26DCFFC,11/10/2019
A286,x,Desmarestia,ligulata,NA,1966 Jun 02,NA,66EA4631-2579-5B4D-B1EE-C25DE69C47DE,11/10/2019
A288,x,Desmarestia,ligulata,NA,1949 Jun 10,NA,9B936196-352E-9D42-AD10-1E50821D9AC6,11/10/2019
A266,x,Desmarestia,ligulata,NA,1949 Jun 10,NA,3DDFD260-3272-F64E-83C9-0CC248226343,11/10/2019
A56550,x,Desmarestia,ligulata,NA,1976 Apr 01,NA,7D10E9E5-3D00-4042-BB69-43CCC3153F25,11/10/2019
A53746,x,Desmarestia,ligulata,NA,1970 Aug 17,NA,1F8F224E-BC3B-864A-829A-FBFF0B6CF7DF,11/10/2019
A44371,x,Desmarestia,rossii,NA,1970 Feb 05,NA,D0C5392D-6124-5340-88F2-A7378530F5D2,11/10/2019
A44370,x,Desmarestia,rossii,NA,1970 Feb 05,NA,A85E0C37-4837-0148-B232-842E7BAA4284,11/10/2019
A44369,x,Desmarestia,rossii,NA,1970 Feb 05,NA,897D70A5-EE04-2B40-8165-0C10271B84D6,11/10/2019
A44368,x,Desmarestia,rossii,NA,1970 Feb 05,NA,518F195D-98DE-DE4C-9674-E16C23FF8913,11/10/2019
A44375,x,Desmarestia,rossii,NA,1970 Feb 06,NA,7BD35614-63A4-3744-B928-593F99BF0C05,11/10/2019
A44374,x,Desmarestia,rossii,NA,1970 Feb 06,NA,A8823B5C-8883-3D4D-89BD-233888C24419,11/10/2019
A44373,x,Desmarestia,rossii,NA,1970 Feb 06,NA,FEAD2A9F-F5AC-F54F-BC5A-F2063A67FA2F,11/10/2019
A44372,x,Desmarestia,rossii,NA,1970 Feb 06,NA,FFFC7E30-AA21-6F4D-9F9B-F27DBF783C97,11/10/2019
A44376,x,Desmarestia,rossii,NA,1970 Feb 07,NA,4FE581EF-30CA-7A4A-BBF8-E96151D0CD4D,11/10/2019
A44379,x,Desmarestia,rossii,NA,1970 Feb 10,NA,5F80B0EF-27BE-DD45-B36E-49E373F2B53B,11/10/2019
A44378,x,Desmarestia,rossii,NA,1970 Feb 10,NA,E0909BA6-C04A-2149-BB49-952F9BA6EDB6,11/10/2019
A44377,x,Desmarestia,rossii,NA,1970 Feb 10,NA,9BF1BEA9-96F8-E346-ADF4-219E1EBC3A98,11/10/2019
A45303,x,Desmarestia,rossii,NA,1970 Feb 14,NA,96DC4697-B3CC-5E4A-9AC0-CE12240ED7F6,11/10/2019
A45304,x,Desmarestia,rossii,NA,1970 Feb 14,NA,FF1E909C-FF7A-7740-9D28-DF4204D2975A,11/10/2019
A44380,x,Desmarestia,rossii,NA,1970 Feb 15,NA,68A9CB5B-7307-1A4E-AFB4-D9119BA8AC59,11/10/2019
A44381,x,Desmarestia,rossii,NA,1970 Feb 16,NA,8E998B22-AD57-7847-8974-6A1EA471C501,11/10/2019
A44382,x,Desmarestia,rossii,NA,1970 Feb 22,NA,C8EEEB79-3ED2-E34F-BE61-EE7E783BB6BB,11/10/2019
A44366,x,Desmarestia,rossii,NA,1970 Feb 03,NA,8F7E132B-9B1D-7642-B40B-FED1FDAD99E3,11/10/2019
A44367,x,Desmarestia,rossii,NA,1970 Feb 03,NA,14550B60-3655-094E-96B7-6678E56F2E5D,11/10/2019
A23770,x,Desmarestia,rossii,NA,1949 Jan 24,NA,2519CB60-5F7A-5F43-9D5B-A2D4BD69CAEA,11/10/2019
A23747,x,Desmarestia,rossii,NA,1949 Jan 24,NA,A5E56980-599E-1246-B308-EFC418B7FB48,11/10/2019
A7623,x,Desmarestia,rossii,NA,[unknown],NA,0321C928-B7D4-634A-9E24-F7A743B8C23C,11/10/2019
A69815,x,Desmarestia,tabacoides,NA,1988 Apr 30,NA,E460AEEF-0D9A-154E-AD22-7653B4F5C19C,11/10/2019
A53774,x,Desmarestia,tabacoides,NA,1974 May 26,NA,20FCFFEC-1718-5E4B-B6B0-DB71B4A28F49,11/10/2019
A7311,x,Desmarestia,tabacoides,NA,1953 May 02,NA,EA247074-3C37-934B-8503-4A4A9F7DAA1F,11/10/2019
A82659,x,Desmarestia,tabacoides,NA,1988 Apr 20,NA,62E8C190-7FC0-EF47-BE76-64B2DF8D8B9F,11/10/2019
A84567,x,Desmarestia,tabacoides,NA,1990 May 15,NA,82BE99DD-BDFD-4349-A7FA-DEA407A0895C,11/10/2019
A85861,x,Desmarestia,tabacoides,NA,2003 Jun 30,NA,8AC51E63-AD31-AD49-B061-400F9960283C,11/10/2019
A43061,x,Desmarestia,tortuosa,NA,1969 Jul 05,NA,F3ED3896-C77D-6644-9B06-F9C2CA0C3007,11/10/2019
A43060,x,Desmarestia,tortuosa,NA,1969 Jun 25,NA,C0ABF5F9-ABA7-164D-BC47-A7BBD4869BD4,11/10/2019
A41837,x,Desmarestia,tortuosa,NA,1969 Jul 19,NA,D12E6AEC-7BC0-A244-9CA0-FE722B487C5F,11/10/2019
A41838,x,Desmarestia,tortuosa,NA,1969 Jul 19,NA,9C49C0C7-F143-284C-93E7-C70798FE9A2B,11/10/2019
A43069,x,Desmarestia,tortuosa,NA,1969 Jul 19,NA,DE1B362F-4014-4B42-B27A-3DFC8F113D71,11/10/2019
A53573,x,Desmarestia,tortuosa,NA,1975 Jun 25,NA,E5FCCEE8-C581-FB43-843C-34BE97E34EB5,11/10/2019
A70611,x,Desmarestia,viridis,NA,1988 Jun 20,NA,80D2733F-C5E1-454F-9EB2-1B5A3FC3BD1B,11/10/2019
A59751,x,Desmarestia,viridis,NA,1978 Mar 07,NA,B9D40594-EB31-EF4C-96B0-0D680416E485,11/10/2019
A55514,x,Desmarestia,viridis,NA,1976 Apr 01,NA,1DDC6FF0-8B9C-2A4D-9B1D-93068F4F5FAB,11/10/2019
A55486,x,Desmarestia,viridis,NA,1976 Apr 01,NA,D3E86EFA-4658-2648-AABD-F97764B50CE7,11/10/2019
A52720,x,Desmarestia,viridis,NA,1975 Apr 15,NA,7DC52453-A07D-B940-90BF-B398DB19008B,11/10/2019
A53799,x,Desmarestia,viridis,NA,1975 Jun 24,NA,CAD56070-5A1B-404F-8D86-F1AF91592F37,11/10/2019
A53556,x,Desmarestia,viridis,NA,1975 Jun 23,NA,F915ABA8-16ED-C642-8434-C1DBB7D1D0B3,11/10/2019
A53565,x,Desmarestia,viridis,NA,1975 Jun 27,NA,A294DA63-4E4A-364E-B5E8-F233D73A9614,11/10/2019
A56251,x,Desmarestia,viridis,NA,1976 Jun 08,NA,3EA38D22-3495-D74E-9C65-ADED0FE728F6,11/10/2019
A54444,x,Desmarestia,viridis,NA,1975 May 15,NA,86D8CDD2-FA66-684E-93EF-CC72EB7A162E,11/10/2019
A42899,x,Desmarestia,viridis,NA,1970 Apr 10,NA,61BFBE5B-173A-7F4F-B66A-DFA19D97C080,11/10/2019
A42202,x,Desmarestia,viridis,NA,1969 Aug 14,NA,7A004FEF-AA65-2A44-9D69-F48D0773F449,11/10/2019
A42201,x,Desmarestia,viridis,NA,1969 Aug 14,NA,9B0FB75F-0586-1140-AA01-7BFB99CC7ADA,11/10/2019
A29293,x,Desmarestia,viridis,NA,1967 May 25,NA,46B36C61-E80C-6844-B75E-B0C8606DD11B,11/10/2019
A28867,x,Desmarestia,viridis,NA,1967 Apr 28,NA,23605267-7C2B-AC40-828E-4A9731F19C66,11/10/2019
A29519,x,Desmarestia,viridis,NA,1967 May 24,NA,9E9D1AF6-40E5-CF42-93C9-33A7CC05E4D4,11/10/2019
A52946,x,Desmarestia,viridis,NA,1975 Apr 16,NA,3ECC7115-A3DA-9341-BCCF-4E0110B5F421,11/10/2019
A55570,x,Desmarestia,viridis,NA,1976 Mar 26,NA,E6E1B372-4ABE-F84F-988E-B1C976D7CFE2,11/10/2019
A55548,x,Desmarestia,viridis,NA,1976 Mar 26,NA,19E91407-3D76-4D4E-A5BC-69FB1E30139D,11/10/2019
A61554,x,Desmarestia,viridis,NA,1980 Mar 20,NA,C421BAF3-CF84-6341-8076-A9F3EBB1BF77,11/10/2019
A292,x,Desmarestia,viridis,NA,1946 Jul 14,NA,92D7919D-58B6-A640-A960-0597FB6CD849,11/10/2019
A296,x,Desmarestia,viridis,NA,1949 Apr 15,NA,943DAEFB-1C50-5C48-BACA-6AC2C6196961,11/10/2019
A66768,x,Desmarestia,viridis,NA,1949 Apr 15,NA,51FE6F65-F080-F242-B63B-49A378C44D25,11/10/2019
A54560,x,Desmarestia,viridis,NA,1976 Mar 24,NA,FF8AB399-B4F8-B342-B87A-F19727EB112E,11/10/2019
A40911,x,Desmarestia,viridis,NA,1969 Jun 17,NA,6EB2E8C3-0BB0-BB45-BC12-A71949CA6131,11/10/2019
A40912,x,Desmarestia,viridis,NA,1969 Jun 17,NA,54B12CAA-675E-A54D-9D5E-626958153DC0,11/10/2019
A15487,x,Desmarestia,viridis,NA,1962 Jul 09,NA,C97C0AE0-164E-A24B-BB11-87215E3EA79A,11/10/2019
A15489,x,Desmarestia,viridis,NA,1962 Jul 09,NA,F87CC4B2-DCE2-164B-9D7D-034BE001F924,11/10/2019
A15668,x,Desmarestia,viridis,NA,1962 Jul 09,NA,810CF572-F42A-0D4C-8624-50CB4B4748D9,11/10/2019
A15700,x,Desmarestia,viridis,NA,1962 Jul 05,NA,9CF84742-91E2-EA4A-89F1-A703EB9F1DA4,11/10/2019
A16036,x,Desmarestia,viridis,NA,1962 Jul 04,NA,3D002635-8FB7-2D40-826B-ABC6FD7F5B28,11/10/2019
A54059,x,Desmarestia,viridis,NA,1975 Jun 24,NA,260DFF41-C5A1-C049-BD04-4FB8D20B0F01,11/10/2019
A53985,x,Desmarestia,viridis,NA,1975 Jun 24,NA,CC6F20A4-1BCE-FE46-AE98-26FD1A73CD45,11/10/2019
A31055,x,Desmarestia,viridis,NA,1967 Jul 20,NA,7F529387-54B1-3445-9441-4F0F2C725C87,11/10/2019
A42622,x,Desmarestia,viridis,NA,1969 May 14,NA,1832DA48-D0F0-7245-AC17-D53E9D2C210E,11/10/2019
A3073,x,Desmarestia,viridis,NA,1944 Jun 08,NA,A0E2A456-B2C8-7641-95E8-816447BE6061,11/10/2019
A3072,x,Desmarestia,viridis,NA,1944 May 21,NA,54E14397-D3A7-E843-AB3C-0779E7BE1025,11/10/2019
A45020,x,Desmarestia,viridis,NA,1968 Jan 21,NA,A1614D63-4BB5-B64E-BCB0-7091DED7DDC1,11/10/2019
A45022,x,Desmarestia,viridis,NA,1968 Jan 29,NA,AF1C3FD8-FCAB-EE43-819A-F9DF99ABB464,11/10/2019
A44391,x,Desmarestia,viridis,NA,1968 Jan 29,NA,AC038A39-9C96-8E45-B7FB-CC8B4CBED75E,11/10/2019
A44385,x,Desmarestia,viridis,NA,1970 Feb 19,NA,B2AE0428-53E6-1745-A1AB-0EE7E00D30D8,11/10/2019
A44393,x,Desmarestia,viridis,NA,1970 Feb 15,NA,CEC34E76-F93E-D043-A915-D1EBF4F0A4B0,11/10/2019
A44392,x,Desmarestia,viridis,NA,1970 Feb 15,NA,8F927296-A86A-8344-95EF-5E88C086E286,11/10/2019
A44388,x,Desmarestia,viridis,NA,1970 Feb 05,NA,A0F235B5-18AC-0C4D-897B-87CB9368C9DE,11/10/2019
A44386,x,Desmarestia,viridis,NA,1970 Feb 03,NA,50BD7BEB-3B3D-4247-8ECA-253FF7A5E131,11/10/2019
A44390,x,Desmarestia,viridis,NA,1970 Feb 10,NA,716C7CAF-8044-B244-A3C5-AAA5AC07B6AB,11/10/2019
A44389,x,Desmarestia,viridis,NA,1970 Feb 22,NA,4339495E-C4C8-BA47-95DC-CB2B659FE53E,11/10/2019
A56409,x,Desmarestia,viridis,NA,1960 Oct 05,NA,84D056C4-75EF-D64B-80E1-AF2D90FDA780,11/10/2019
A56407,x,Desmarestia,viridis,NA,1960 Oct 05,NA,57F42EA3-ED67-BD40-A735-817DB2ACCE7E,11/10/2019
A56408,x,Desmarestia,viridis,NA,1960 Oct 04,NA,453E7A42-BB89-414E-8BB5-718DB466ECC5,11/10/2019
A13440,x,Desmarestia,viridis,NA,1960 Oct 04,NA,80D50015-388E-1046-B7EB-127B44BDCC90,11/10/2019
A13439,x,Desmarestia,viridis,NA,1960 Oct 04,NA,2BDAEF6C-F2EF-FF40-B383-FEAD87FF59BC,11/10/2019
A13438,x,Desmarestia,viridis,NA,1960 Oct 04,NA,21E79C78-CB18-3F4D-97FC-7018A4171A6C,11/10/2019
A13437,x,Desmarestia,viridis,NA,1960 Oct 04,NA,608CE05F-99C0-2946-9EDA-E70FBFCB8F3D,11/10/2019
A13436,x,Desmarestia,viridis,NA,1960 Oct 04,NA,B61AF280-FD07-4C48-A97D-126AC98C861E,11/10/2019
A281,x,Desmarestia,viridis,NA,[unknown],NA,1DCB06D8-C5E3-1E44-B17A-421DDE010253,11/10/2019
A24921,x,Desmarestia,viridis,NA,1966 Jun 02,NA,329BF3F9-32D0-3747-82DB-F7D8B516644D,11/10/2019
A52756,x,Desmarestia,viridis,NA,1975 Apr 26,NA,9C616998-F6C4-2E4C-A474-37C4F9121C7C,11/10/2019
A279,x,Desmarestia,viridis,NA,1952 Jun 25,NA,D2D5FF5F-0FA8-CF4D-AA67-8DB59BFF1CD5,11/10/2019
A280,x,Desmarestia,viridis,NA,1952 Jun 25,NA,9BC48F70-2D1A-8847-BA7A-54748D8C3915,11/10/2019
A284,x,Desmarestia,viridis,NA,1949 May 29,NA,C28B7261-C5AC-F044-BF17-F7901C287025,11/10/2019
A283,x,Desmarestia,viridis,NA,1949 May 29,NA,512A2699-9D0D-3340-862B-1C8148B6E54F,11/10/2019
A282,x,Desmarestia,viridis,NA,1949 May 25,NA,CA90BC3B-0379-024E-87B5-CE156858B52F,11/10/2019
A26614,x,Desmarestia,viridis,NA,1966 Mar 12,NA,C22C4F93-D47C-0D4B-9F11-AE98565FBE02,11/10/2019
A293,x,Desmarestia,viridis,NA,1936 Jul 01,NA,E0A70619-2F15-BC47-9FDD-B44DE7752F12,11/10/2019
A40349,x,Desmarestia,viridis,NA,1969 May 15,NA,843FF2E5-57F9-A942-8A5C-2B01252D4145,11/10/2019
A63658,x,Desmarestia,viridis,NA,1870 May 18,NA,7C96E571-9A86-7C44-A859-F2BB2E544E4B,11/10/2019
A23804,x,Desmarestia,viridis,NA,1941 Aug 07,NA,07C618E8-46E4-1440-AF04-BFAB5795000E,11/10/2019
A7701,x,Desmarestia,viridis,NA,1957 Aug 16,NA,5A0E7062-8AEA-5C41-918B-ABC30F225530,11/10/2019
A7330,x,Desmarestia,viridis,NA,1951 Mar 27,NA,0B5A97B2-B8F1-1945-88DD-692E5CCCDEAB,11/10/2019
A82843,x,Desmarestia,viridis,NA,1988 Apr 17,NA,028368E7-0786-F541-95D3-59F517FF3A5C,11/10/2019
A84493,x,Desmarestia,viridis,NA,2003 Aug 04-06,NA,95BCF208-A2A3-6943-A87B-8DEB253AAE04,11/10/2019
A84494,x,Desmarestia,viridis,NA,2003 Aug 04-06,NA,00F97274-72BB-CE4A-9FA4-F21764AB46FC,11/10/2019
A84568,x,Desmarestia,viridis,NA,1976 May 19,NA,163A4277-2E34-DD47-9542-0FB526A1739A,11/10/2019
A66689,x,Desmarestia,viridis,NA,1982 Apr 25,NA,6AFA2413-05BA-1148-8434-8D77E3272EA0,11/10/2019
A66585,x,Desmarestia,viridis,NA,1982 Apr 25,NA,E2567DFA-8976-BF4E-BB52-B12AD755064C,11/10/2019
A8169,X,Cymathaere,triplicata,NA,1960 Jun 24,NA,9875C1A5-8B9F-554A-B81D-13DC10D1D2D0,11/10/2019
A8174,X,Cymathaere,triplicata,NA,1960 Jun 24,NA,04D4D6E2-CF21-A04E-AD3A-E57A89794E26,11/10/2019
A8170,X,Cymathaere,triplicata,NA,1960 Jun 23,NA,B9D3D2F8-4521-914B-BE6D-E1254D582DC9,11/10/2019
A9694,X,Cymathaere,triplicata,NA,1960 Jun 27,NA,D7C7757A-A4C1-4D40-AB75-69B6DA0A7003,11/10/2019
