Accession Number,(X) Verified,Phylum,Class,Genus,Species,Country,Date Collected,Primary Collector,UUID,Verified
A53253,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1975 May 14,C. Tanner,4805C373-B442-6C4C-B079-67934E152E82,03/17/2020
A63979,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1979 May 01,Anne Stewart,AA42AE43-F1FE-6443-B90E-9763A2827444,03/17/2020
A45516,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1971 Apr 22,Jim W. Markham,1D529CD1-7213-4542-85EE-24E5ED8FB625,03/17/2020
A43850,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1970 Sep 12,Danny R. Pace,A6EF4517-D367-4240-BD3F-114DF3F6CEEF,03/17/2020
A55054,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1976 Mar 24,C. Tanner,0B28A089-1406-F249-8BA1-9C20BD0316B7,03/17/2020
A62511,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1980 Jul 31,David J. Garbary,3AC949C2-C523-EE46-9D97-F597437FF728,03/17/2020
A330,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1945 Jul 20,N. F. Hays,FA011207-2A0D-F84B-AA42-89BD6C2292E5,03/17/2020
A52819,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1975 Apr 15,G. J. Court,7B79F94B-6E9F-E24B-8C71-A720C603D7BB,03/17/2020
A52873,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1975 Apr 15,C. Tanner,976C4FBB-5B68-754D-B483-87D533D2173D,03/17/2020
A63296,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,[unknown],S. N.,2E38CD4D-B087-D648-9B5B-F222B192E329,03/17/2020
A63297,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,[unknown],S. N.,2BD79AD6-99A5-0F4F-99BD-D3A077725C99,03/17/2020
A60428,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1979 Mar 10,Robert F. Scagel,608B6BA3-D8F8-C642-807A-09AB0BB58049,03/17/2020
A53862,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1975 Jun 26,Michael W. Hawkes,05667C73-1EC6-5148-8966-6130C84B1657,03/17/2020
A54386,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1975 May 15,Thomas F. Mumford Jr.,E79D85E5-23B4-E84A-AF43-12DA6DB53223,03/17/2020
A60133,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1934 Dec,F. Kemp,5874136B-CD1A-9746-A6D8-D66F6CDF9490,03/17/2020
A61195,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1979 Jul 14,Luis Oliveira,CD49C602-396D-1044-8770-E818CF56E826,03/17/2020
A14686,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1958 Mar 10,Tom B. Widdowson,FF34B50A-DF1C-0F42-8906-8B92EC175E38,03/17/2020
A3179,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1957 Jun,Tom B. Widdowson,D153680F-F54E-6B48-AED7-2A595C167A26,03/17/2020
A3187,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1958 Mar 10,Tom B. Widdowson,47FC0E46-89F0-CA41-A374-16FFD5D88AAB,03/17/2020
A4020,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 May 26,Tom B. Widdowson,171070DA-0B54-B54E-B55A-D98262A33977,03/17/2020
A41661,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jul 28,Ken Baillie,F9DED82D-617B-5948-B284-4377727C856A,03/17/2020
A41807,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jul 21,Ken Baillie,71652C58-85A5-BA45-8DA9-D19C57A791FE,03/17/2020
A41618,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jul 17,Ken Baillie,112551B2-8292-0341-AA11-F221AAEC6CF2,03/17/2020
A41602,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jul 14,Danny R. Pace,46912BEC-8C34-2D41-B667-116195696B34,03/17/2020
A41581,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jul 12,Danny R. Pace,444A64A5-C15A-8A42-BBD3-487A197B2FD8,03/17/2020
A41067,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jul 11,Danny R. Pace,B2583ADC-5F69-A347-B3C5-C10897F82568,03/17/2020
A4014,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 May 29,Tom B. Widdowson,83629B7A-2447-1D4B-9E94-62C85C7AA839,03/17/2020
A43851,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1970 Sep 13,Danny R. Pace,EA0759ED-0821-554E-90E8-730C845D6B72,03/17/2020
A82239,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,3/5/1995,Rev. E. Garcia,0CEAA874-CF9F-A34D-B6C3-B4718DD6559A,03/17/2020
A84366,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1999 Jul 28,Keith Pardee,CA931189-5079-704B-A255-E30E55CA05B9,03/17/2020
A84176,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1973 Apr 21,Sandra C. Lindstrom,6AEE458B-1159-6B49-9803-2AABE8D77EC4,03/17/2020
A54579,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1976 Mar 27,C. Tanner,A4DD997B-4FD1-5D4C-B8FC-FDD81AF8FECC,03/17/2020
A82030,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1995 Feb 25,Rev. Ernie Garcia,7DC19B09-D887-994D-BDF5-8D69DFEA1D5A,03/17/2020
A90506,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,2012 Jul 07,Sandra C. Lindstrom,02BA6372-D8AD-104A-952C-4447BE4F7542,03/17/2020
A93086,X,Phaeophyta,Phaeophyceae,Egregia,menziesii,Canada,2010 Oct 09,Kyle Demes,B27020AE-18C6-084E-B685-AC24582C45C5,03/17/2020
A93087,X,Phaeophyta,Phaeophyceae,Egregia,menziesii,Canada,2010 Oct 09,Kyle Demes,0691ACBD-384B-124D-BCF9-0759B2D70E27,03/17/2020
A93088,X,Phaeophyta,Phaeophyceae,Egregia,menziesii,Canada,2010 Oct 09,Kyle Demes,5EFFA211-8C8B-1640-83F3-CA86DD9616D9,03/17/2020
A93090,X,Phaeophyta,Phaeophyceae,Egregia,menziesii,Canada,2010 Oct 09,Kyle Demes,883D32DB-EC33-0B4B-AB6A-3DC74F803E8A,03/17/2020
A18686,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1964 Jun 09,Robert K.S. Lee,3E6AA094-F8CC-9B43-838B-8EB1DA0204CE,03/17/2020
A19797,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1964 Jun 08,Arthur C. Mathieson,68622297-E838-9D4A-A72C-B082788194B6,03/17/2020
A19796,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1964 Jun 08,Arthur C. Mathieson,7ABEBABC-A67E-FC4E-989B-E9E206721D90,03/17/2020
A17751,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1964 Jun 08,Arthur C. Mathieson,FBC0C001-7170-C941-B6E2-8AC2E5162B8C,03/17/2020
A37351,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1968 Aug 23,Jim W. Markham,E63D11EC-EA39-F54E-AB05-2927EDA1B95F,03/17/2020
A17784,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1964 Jun 08,Arthur C. Mathieson,EFAE7559-3A33-7647-877F-DCA246E8BBA2,03/17/2020
A19813,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1964 Jun 08,Arthur C. Mathieson,A431866E-E250-FD4F-A7AA-ED1755BE384C,03/17/2020
A19799,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1964 Jun 08,Arthur C. Mathieson,34B664B5-F5CC-0042-BB4F-EECC33FF8AD9,03/17/2020
A53813,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1975 Jun 25,J. Root,CDF816A0-B1BD-ED49-9CB8-D18DBF19D8CB,03/17/2020
A55519,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1976 Mar 30,Barry Smith,C1A6171F-2584-A84D-B095-987C4FDD5EB6,03/17/2020
A51468,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1984 May 17,Sandra C. Lindstrom,BCF6E710-F2E5-A849-A5C7-3D6DDBC3E066,03/17/2020
A61131,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1979 Aug 31,Larry T. Golden,1D9B2CE1-5902-ED4B-9F7B-89ED83A2DFA1,03/17/2020
A41617,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1969 Jul 17,Ken Baillie,BF95AFE2-D0F5-E741-B319-05AF21903C29,03/17/2020
A41229,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1969 Jul 06,Ken Baillie,013DB88C-EB80-E74B-9D9A-650C1A995C5F,03/17/2020
A41448,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1969 Jul 04,Ken Baillie,F0F612CE-FC1D-C54F-96C8-0388547ED48A,03/17/2020
A64860,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1981 Oct 12,David J. Garbary,5516FE40-59BF-224C-B15F-8615ECA519E2,03/17/2020
A66383,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1982 Apr 08,David J. Garbary,D82BAAF0-8A25-E04E-968F-69C2F6C82F5D,03/17/2020
A67051,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1982 Jul 13,David J. Garbary,03462455-E997-5E45-A721-2992EFD9BDFF,03/17/2020
A67073,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,8/7/1982,David J. Garbary,731DAEFC-4011-484A-B3F6-F10DD6C25B7A,03/17/2020
A89097,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,2011 Aug 11,Sandra C. Lindstrom,573B8021-D557-A44F-ABC3-AD9AF46D988B,03/17/2020
A67321,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1982 Jul 07,J. R. Stein,D7F40A44-832C-7E42-B4E5-07EFB38CA828,03/17/2020
A64348,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1981 Jul 12,David J. Garbary,8CFFB177-BC32-BE41-AC0C-0B9AAE4571A2,03/17/2020
A66716,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1982 Apr 25,David J. Garbary,C1FF430F-997C-9E42-A247-94091BB3AED7,03/17/2020
A48894,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1970 Sep 14,Dr. J. N. Norris,31DAAF63-D2A1-564C-A73E-2AFBC6037AC3,03/17/2020
A6963,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 Jul 09,Tom B. Widdowson,FF7C5C30-2701-5A45-96EF-D85A538A2E7F,03/17/2020
A6962,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 Jul 10,Tom B. Widdowson,1BD770CF-ABA4-2040-96F9-014DDC381A4D,03/17/2020
A6964,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 Jul 21,Tom B. Widdowson,2A19524B-A40A-F448-8E03-BF045C87AFA0,03/17/2020
A6999,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 Jun 23,Tom B. Widdowson,A3508A00-BE76-BB4B-AE95-D8F1D65455D6,03/17/2020
A32417,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Jan 26,Ken Baillie,C25A7F85-9F69-5F49-B317-B72456086EA4,03/17/2020
A29122,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 May 11,Patrick Chamut,32B30C72-5B11-EC47-9BEE-1EF4EEAC841B,03/17/2020
A31677,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Aug 06,Patrick Chamut,2FED33EF-4019-804F-BF37-C53A318432F6,03/17/2020
A31485,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Jul 21,Patrick Chamut,C9FA913E-FEEE-1749-8B53-9B6D4869C51D,03/17/2020
A31064,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Jul 09,Patrick Chamut,13B6C47D-2D76-C74E-9ECE-593FCA06DE16,03/17/2020
A32034,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Nov 05,Patrick Chamut,84B3F5F9-0E1D-8646-9884-DC240B15000C,03/17/2020
A42309,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 May 16,Ken Baillie,2422C5A4-3804-1F45-AAF0-1B87513DD99D,03/17/2020
A34034,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Jun 11,Patrick Chamut,0D07AD35-F69A-C24F-8B2D-B873222698C3,03/17/2020
A30811,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Jun 21,Ken Baillie,944C29B6-A0FB-7046-A9FF-5318B1122334,03/17/2020
A49132,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1972 Jun 28,C. Tsuyuki,3B1A2ADB-1418-B649-A08A-9DCF3C6FDA2E,03/17/2020
A60770,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1979 Jul 19,David J. Garbary,6B0A781F-2F8C-DB44-8089-740DAA24E226,03/17/2020
A31065,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Jul 20,Ken Baillie,91CD5CAE-D681-C149-B83D-F602B02F2554,03/17/2020
A4001,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 May 24,Tom B. Widdowson,50B1A0FD-D061-9D4B-87DC-E6A88D399CF4,03/17/2020
A4012,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 May 24,Tom B. Widdowson,ECC16B1E-CFFD-E745-A872-F9667E0D9DEA,03/17/2020
A4011,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 May 24,Tom B. Widdowson,C3D53783-8D1D-DE41-A708-1E2CE124497A,03/17/2020
A4010,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 May 28,Tom B. Widdowson,91895478-BA69-4A47-84B9-9B4AF42C843B,03/17/2020
A3189,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1957 Jul 09,Tom B. Widdowson,5FAEE6DE-DFBF-9B4A-9998-0FA8F52E9AEB,03/17/2020
A14685,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1957 Aug 10,Tom B. Widdowson,0A6767F5-799E-794E-A3B5-E0659408DCCC,03/17/2020
A3186,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1957 Nov 22,Tom B. Widdowson,0CFE12ED-E400-B644-AF62-CCCE6AD21EBB,03/17/2020
A3188,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1957 Jul 09,Tom B. Widdowson,4D524A08-2087-D647-8F68-950F5F433762,03/17/2020
A14687,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1957 Nov 22,Tom B. Widdowson,4984FD4B-A86B-FB4A-92DF-557E1DA8CA0C,03/17/2020
A53228,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1975 May 13,Michael W. Hawkes,907AD2E4-9014-FD4E-90BD-EC980A75A1D2,03/17/2020
A53223,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1975 May 13,Thomas F. Mumford Jr.,D1F75412-CF13-644E-8452-F62189E2E06B,03/17/2020
A44207,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1971 Jan 18,Louis D. Druehl,7D9AE810-3B67-7441-B734-5890362E4D07,03/17/2020
A40035,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 May 18,P. G. Harrison,4AED6EB0-CF51-734A-AA92-70152EFD2244,03/17/2020
A31990,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Oct 06,Patrick Chamut,FF23BC73-B047-6048-8CFD-695B9B91EB71,03/17/2020
A6996,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 Jun 24,Tom B. Widdowson,49BBCE6F-8936-BB4F-9165-683E10980BB9,03/17/2020
A3182,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1957 Aug 23,Tom B. Widdowson,DCF1D08F-ED0B-634C-B2C6-9B5CB913C59E,03/17/2020
A63601,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1919 Jul 27,John Davidson,CB337636-C823-1040-A0E3-D270AFD45A6C,03/17/2020
A89578,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,2011 Aug 12,Laura M. Anderson,323D5B1F-829D-DE47-B3AA-4155062FB2DC,03/17/2020
A89827,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,2013 May 27,Sam M. Starko,5AE3A8F1-8B9D-E542-B1AD-B075125B25FB,03/17/2020
A26666,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jul 16,Jim W. Markham,5619BFA1-155F-8D4A-A8FC-B2D27C53985E,03/17/2020
A21307,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jul 03,Louis D. Druehl,64739F5E-6278-434B-B8F1-72B1E1879A6E,03/17/2020
A20761,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jun 18,Jim W. Markham,F31966CD-504D-3E40-8A09-85CE86A36416,03/17/2020
A22217,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jun 30,Louis D. Druehl,BC9040ED-88BD-444D-96AA-96E13C792121,03/17/2020
A20350,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jun 14,Robert Driskill,BF92B53B-0A82-3341-AB38-BBF8F137F943,03/17/2020
A23102,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jun 14,Gordon Robinson,2780BBF3-D016-FB45-8939-9D6850DBBBEF,03/17/2020
A21474,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jun 13,Arthur C. Mathieson,796CD852-5FB3-A346-B488-A9C95A9D22EF,03/17/2020
A20799,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jun 13,John Green,B16FE24B-742A-BF42-A7F2-2C64D3F03A44,03/17/2020
A3883,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 Apr,S. Neave,4BA15798-F2FB-954C-B080-4EFB14F5CDEC,03/17/2020
A3882,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 Apr,S. Neave,66D0DCF0-9D4B-4B42-80E8-DEF938631B7A,03/17/2020
A2166,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1953 Jun 26,Robert F. Scagel,39C6E377-CABC-C946-8B03-3AEC5106CF2F,03/17/2020
A8488,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1953 Jun 26,Robert F. Scagel,840B3DF3-B325-6B48-B638-3C5E6A494D2C,03/17/2020
A8486,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1953 Jun 26,Robert F. Scagel,B5855AE0-1E88-E643-ADF3-7D50CE544A13,03/17/2020
A2079,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1953,Robert F. Scagel,0256B16E-FCA6-A54C-A904-91F04E56FA4E,03/17/2020
A326,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1946 Jul 14,Robert F. Scagel,2019ACFB-0AE0-EA48-878F-C44FFCF54D97,03/17/2020
A30131,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 May 23,Patrick Chamut,D6326A0F-015F-F549-92A6-D547F0991689,03/17/2020
A38685,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Sep 04,Jim W. Markham,9D3B9076-3CDC-CA44-BCA7-27925B348DA8,03/17/2020
A38137,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 30,Jim W. Markham,B1FBFF7F-418F-DE46-AC2D-8032387EAD56,03/17/2020
A38136,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 30,Jim W. Markham,985B8200-F6A6-E140-A874-C371BE734859,03/17/2020
A38135,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 28,Jim W. Markham,EFB2729E-2CAB-F949-AECA-58A839ED0145,03/17/2020
A37849,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 26,Jim W. Markham,DE1A97F9-56C0-0A46-B28B-EB00EDFACAD4,03/17/2020
A82398,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,10/3/1996,Jeff Fleming,7B26B3FF-A2E0-D941-9E7B-118238E05A28,03/17/2020
A82362,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1996 Mar 20,Susan Peel,29AF71BE-DFB2-184E-9F29-D1F8AA61861A,03/17/2020
A88245,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,2003 Apr 18,Sandra C. Lindstrom,48C3D13B-77A2-C844-9F22-718C227096D2,03/17/2020
A2135,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1953 Jul 29,Robert F. Scagel,5827A629-D17B-594A-961F-8266FD56F9F3,03/17/2020
A2101,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1953 Jul 29,Robert F. Scagel,F58F0D74-F377-764D-A927-855AE2BA8E7A,03/17/2020
A82428,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1994 Jun 25,Michael W. Hawkes,04680B29-0675-3343-83D9-BF12A123AB88,03/17/2020
A55717,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1976 Mar 30,C. Tanner,75DD471C-DB24-B74F-A182-E8A49578FB1F,03/17/2020
A3872,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 Apr,S. Neave,54583BC0-18E4-3B40-A433-200B6229617B,03/17/2020
A3871,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 Apr,S. Neave,EBFF1130-C1EE-B849-A2D3-888EAF6BDC68,03/17/2020
A2516,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1958 Jul,S. Neave,D95F968D-694E-FF44-8E9C-4309C25CC4DF,03/17/2020
A2515,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1958 Jul,S. Neave,C53DFBF7-A9B8-A240-A461-7DC1745258F0,03/17/2020
A3873,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 Apr,S. Neave,1670204E-FC04-AF42-965F-D6E437BC07A6,03/17/2020
A10762,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jul 09,Tom B. Widdowson,A3B42642-22D1-1E43-90C6-3D7414EAB8A1,03/17/2020
A10763,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jul 09,Tom B. Widdowson,77B9BA25-0C71-7548-9095-8801CD3E0C23,03/17/2020
A11191,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jul 09,Tom B. Widdowson,22CBAD6A-BBE7-6941-BB03-073390F0F9A6,03/17/2020
A11192,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jul 09,Tom B. Widdowson,BA24CE93-3B32-524C-BED2-39DDD04E93B3,03/17/2020
A11179,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jun 27,Tom B. Widdowson,365E59A6-7FD3-CD49-8107-D4D1FF61E94E,03/17/2020
A14534,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jun 23,Tom B. Widdowson,D5A1A179-C3C5-4C42-A481-16A8F17B8EA6,03/17/2020
A14533,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jun 23,Tom B. Widdowson,F272E7DB-EB45-E24E-9C8E-072DFC09C0D9,03/17/2020
A9350,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jun 15,Tom B. Widdowson,A80B3350-0508-D641-BB87-789E53ABC686,03/17/2020
A11478,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jun 12,Tom B. Widdowson,651AFF3A-BF0B-F542-9CC9-9666B8672084,03/17/2020
A10438,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1970 Jun 12,Tom B. Widdowson,EAF7EF22-559C-3148-8B24-5004BFD55BB7,03/17/2020
A8292,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jun 12,Tom B. Widdowson,713BD409-8D3F-BD47-9A42-0F70F52FC262,03/17/2020
A10451,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jun 08,Tom B. Widdowson,A5CD7BCC-8468-224E-B2D7-701BEE743FBC,03/17/2020
A10429,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jun 08,Tom B. Widdowson,E302EF50-7085-0342-AC43-F8F198FB79AB,03/17/2020
A10679,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1960 Jun 08,Tom B. Widdowson,B4BD776D-D703-3A47-99B2-CB4012192DDC,03/17/2020
A14311,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 20,Tom B. Widdowson,D317DF85-0D77-544B-914C-0D4814B3EEF8,03/17/2020
A361,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1917 Jul,N. L. Gardner,AA0359F5-F700-AE42-9FA7-84CC531AA3D2,03/17/2020
A22632,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 13,Arthur C. Mathieson,A223A4C5-36CD-294A-B5C2-3BB55B5C219D,03/17/2020
A20532,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 12,Arthur C. Mathieson,E383BF12-4588-A047-9A4E-ADD16D52DDCA,03/17/2020
A21620,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 13,Arthur C. Mathieson,FD9EB6FD-551A-8C49-8165-0C0ADD2408BA,03/17/2020
A20184,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 12,Louis D. Druehl,4B1CA242-9817-694C-94BA-29BA2A422753,03/17/2020
A20481,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 11,Arthur C. Mathieson,20003EFA-DD69-9744-A0C2-6FAC80B487B2,03/17/2020
A22551,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 11,Arthur C. Mathieson,7F45B29B-DE3F-3741-83E7-ADE39E4A87CF,03/17/2020
A22681,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 11,Louis D. Druehl,9FB0EF71-85C5-1F46-985E-2C120370FC3D,03/17/2020
A22678,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 11,Louis D. Druehl,2344FBF0-B1ED-464C-8905-1206B5F9BC57,03/17/2020
A22493,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 11,Louis D. Druehl,0D8EE83E-BBCD-A64E-9D08-DEB6512D12D3,03/17/2020
