Herbarium BioBlitz,SCIE 001,,,,,,
10-Sep-19,,,,,,,
Student Name,Payton Mackwood,,,,,,
Student Name,Mickey Ordog,,,,,,
12-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
13-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
,,,,,,,
Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID
A88173,,Colpomenia,bullosa,United States,2005 Jun 03,Sandra C. Lindstrom,22D017E9-104F-0847-A8C2-0BA861BEABF3
A88175,,Colpomenia,bullosa,United States,2005 Jun 03,Sandra C. Lindstrom,F2CD0991-A958-794C-B802-D60CCF730ED9
A89152,,Colpomenia,bullosa,United States,2011 Apr 22,Sandra C. Lindstrom,D588E2AA-76D2-074B-A63B-E33E7419E50E
A93103,,Colpomenia,bullosa,Canada,2013 Apr 27,Sandra C. Lindstrom,41AE78F2-EF65-CE4D-905E-A7DCA3234796
A80544,,Colpomenia,bullosa,United States,1989 Jul 30,Sandra C. Lindstrom,75162AB6-CB4B-3A45-AC3A-5696F7A1DDEA
A92693,,Colpomenia,bullosa,United States,2016 May 25,Sandra C. Lindstrom,55C2BC2E-14DE-0941-B94E-2D3C29699984
A92704,,Colpomenia,bullosa,United States,2016 May 26,Sandra C. Lindstrom,A29398FD-EC0E-4D46-A828-FBEA03528666
A92795,,Colpomenia,bullosa,Canada,2015 Jun 14,Sandra C. Lindstrom,1ABB33A8-586F-4849-AF4B-58B22A6C91EE
A93592,,Colpomenia,bullosa,Canada,2017 May 26,Patrick T. Martone,757C042A-FC33-E240-B876-00B1D5C14146
A69195,,Colpomenia,ecuticulata,Australia,1982 May 15,H.B.S. Womersley,01CB7F72-85B8-B349-8129-C6E407F2DA9A
A26376,,Colpomenia,peregrina,United States,1966 Jul 14,Patrick Chamut,19835470-2B44-274C-A784-434E1761BA43
A28737,,Colpomenia,peregrina,Canada,1967 Apr 28,Gordon Robin South,9C160A06-158C-B04A-B033-DA7441F754C3
A29288,,Colpomenia,peregrina,Canada,1967 May 23,Gordon Robin South,BD5DB8D3-A255-D545-AC85-AAE8F02E48CE
A28921,,Colpomenia,peregrina,Canada,1967 Apr 27,Gordon Robin South,EBBE38EA-A4A5-C749-80CA-C6EBFF565BBB
A28714,,Colpomenia,peregrina,Canada,1967 Mar 31,Gordon Robin South,D3A9D63C-1B59-8C46-96B3-E554A308B371
A28558,,Colpomenia,peregrina,Canada,1967 Mar 30,Gordon Robin South,094380D9-9CFA-BD48-98B8-1E99AC856F81
A28559,,Colpomenia,peregrina,Canada,1967 Mar 31,Gordon Robin South,A0C7B276-925D-4349-9057-FE03F0662086
A28412,,Colpomenia,peregrina,Canada,1967 Mar 29,Gordon Robin South,AE17C733-A4D8-6541-8576-1E7B04B257C3
A28413,,Colpomenia,peregrina,Canada,1967 Mar 29,Gordon Robin South,99ED33A9-9887-8D42-8DA3-FCD5EE66C51E
A29554,,Colpomenia,peregrina,Canada,1967 Jun 21,Gordon Robin South,3723758B-089C-F545-A2B5-36A9A0A9D92C
A28179,,Colpomenia,peregrina,Canada,1966 Nov 11,Gordon Robin South,864EB835-17A2-1A48-8342-51992875DA0E
A29290,,Colpomenia,peregrina,Canada,1967 May 24,Gordon Robin South,5FCA46D5-C2E1-8E4B-B41B-21143DCE48F8
A29289,,Colpomenia,peregrina,Canada,1967 May 24,Gordon Robin South,95F3D02C-8AD9-314C-A081-74DCF3C0586E
A48860,,Colpomenia,peregrina,Canada,,C. Tanner,06AD9F37-4326-714D-AA32-D01444E8B65C
A53309,,Colpomenia,peregrina,Canada,1975 Apr 17,C. Tanner,077F6095-935D-834B-8664-F10C53D2E9DF
A56286,,Colpomenia,peregrina,Canada,1975 Apr 17,J. Root,DCCBEF2C-D5CA-7C47-9963-4B82078DA2EE
A57313,,Colpomenia,peregrina,Canada,1977 Apr 06,R. Foreman,125B22E9-DC41-2D44-9FDB-61902E63FA1C
A55632,,Colpomenia,peregrina,Canada,1976 Mar 23,Barry Smith,FE6AD129-CDAB-DA4E-898D-D428EA9A4653
A54424,,Colpomenia,peregrina,Canada,1975 May 15,Thomas F. Mumford Jr.,6D513165-7CC5-A24C-A6C8-60856952ABE9
A53321,,Colpomenia,peregrina,Canada,1975 May 15,C. Tanner,280106DF-B3FA-1A40-8FBE-FD671B2F8E46
A53686,,Colpomenia,peregrina,Canada,1970 Aug 17,R. G. Hooper,230377FD-C000-7E45-98DE-0F09CD6E6CE1
A60771,,Colpomenia,peregrina,Canada,1979 Jul 17,David J. Garbary,25D1E9A1-990D-534F-8718-8BD7028D14A3
A36142,,Colpomenia,peregrina,Canada,1967 Jun 22,Gordon Robin South,0EF7357C-7B20-C14A-B18A-8E8ECFF21124
A58934,,Colpomenia,peregrina,Canada,1978 Mar 07,E. Cabot,82E3DA17-626B-EA41-A588-91B4A8744871
A58531,,Colpomenia,peregrina,Canada,1977 May 26,R. Foreman,647AD2B0-320A-3047-8440-EEEAA5DCD191
A58532,,Colpomenia,peregrina,Canada,1977 May 25,R. Foreman,E19236BE-4BD2-B540-8D00-862C43EE39C4
A58533,,Colpomenia,peregrina,Canada,1977 May 25,R. Foreman,1A5C1BC2-8B48-6549-92BE-0011877370DA
A61705,,Colpomenia,peregrina,Canada,1980 Apr 17, Gayle I. Hansen,29DA1AEE-0D92-B741-8805-1557CA8D2A89
A54325,,Colpomenia,peregrina,Canada,1970 May 28,R. G. Hooper,94E35C6E-CF83-BE4B-AE66-82ED3C70FBDA
A53417,,Colpomenia,peregrina,Canada,1972 Nov 17,R. G. Hooper,F68C8A78-B401-294B-BD17-EA90BA9076D3
A55324,,Colpomenia,peregrina,Canada,1976 Mar 30,C. Tanner,3DD46BF6-2655-924D-9815-499CE49295D4
A54757,,Colpomenia,peregrina,Canada,1976 Mar 27,Michael W. Hawkes,5BA92D23-D7DC-6E42-A247-DBB30FFC3FAB
A54768,,Colpomenia,peregrina,Canada,1976 Mar 27,Michael W. Hawkes,2E918B58-87FC-344F-81D6-96F129C9E32A
A54505,,Colpomenia,peregrina,Canada,1976 Mar 25,Michael W. Hawkes,58A5066A-EF2D-C64B-AAF7-B5513C73A1E9
A55092,,Colpomenia,peregrina,Canada,1976 Mar 24,Michael W. Hawkes,0DAFEA05-92D9-8C48-A0AB-4EE96F2B6877
A55078,,Colpomenia,peregrina,Canada,1976 Mar 24,Michael W. Hawkes,55BC2DDF-D85E-184C-9E4C-1903DCF5B4B3
A54902,,Colpomenia,peregrina,Canada,1976 Mar 22,Michael W. Hawkes,AEAC7B48-1D12-9C4D-A0E9-1CCF326BACAD
A15947,,Colpomenia,peregrina,Canada,1962 Jul 04,Robert K.S. Lee,D532CAA8-834E-E64C-AE38-3A2C5FC8AEF7
A19034,,Colpomenia,peregrina,Canada,1964 Jun 07,Louis D. Druehl,10C24B70-F25F-724D-8D7F-4A6781A25E49
A44002,,Colpomenia,peregrina,United States,1971 Jan 14,Danny R. Pace,7CBF0411-006D-FF40-A689-7975B014EEC7
A9720,,Colpomenia,peregrina,United States,1960 Jun 27,Tom B. Widdowson,6709A48F-EFAD-FC47-A8D8-79A2509C3FD4
A8303,,Colpomenia,peregrina,United States,1960 Jul 08,Tom B. Widdowson,36C6808F-70F3-D048-871E-4AFCE4201C69
A8302,,Colpomenia,peregrina,United States,1960 Jul 08,Tom B. Widdowson,FAEDF805-FA2D-7545-AA3C-DAD309D10107
A8197,,Colpomenia,peregrina,United States,1960 Jul 08,Tom B. Widdowson,6BADCFF9-5851-8C4D-9FA0-380ADEA5C322
A8332,,Colpomenia,peregrina,United States,1960 Jul 08,Tom B. Widdowson,1B2130B2-16FC-7C46-8CF0-91EB27327243
A8195,,Colpomenia,peregrina,United States,1960 Jul 08,Tom B. Widdowson,56C69947-9C3C-444D-89EA-AD05E3F48AFC
A8199,,Colpomenia,peregrina,United States,1960 Jul 08,Tom B. Widdowson,45CB481F-793B-E34E-9146-D1A60D291EAD
A5207,,Colpomenia,peregrina,Canada,1901 Jul 08,Conway Macmillan,37FAC457-62A3-8245-9608-2C4D90CFAFE3
A53508,,Colpomenia,peregrina,United States,1975 Mar 29,Thomas F. Mumford Jr.,D1F1171E-B1D6-2A49-96C5-27F469FDA1B3
A60387,,Colpomenia,peregrina,United States,1949 Jun 12,Robert F. Scagel,475BBD03-C7B6-4943-9F75-1DAF45BD3431
A235,,Colpomenia,peregrina,United States,1949 Jul 07,Robert F. Scagel,68A2FAF3-3116-5A4D-9045-D041BC045838
A230,,Colpomenia,peregrina,United States,1949 May 28,Robert F. Scagel,3F8E705F-1432-F94B-AE67-62A157021706
A56343,,Colpomenia,peregrina,United States,1960 Jun 11,J. R. Stein,CD519A3B-1874-7C4E-9402-138AFD16491B
A232,,Colpomenia,peregrina,United States,1937 Jul 09,M. R. Armstrong,3B7218DD-107B-6044-ACE2-8EDAC643C5EB
A233,,Colpomenia,peregrina,United States,[unknown],Mrs. S. N. Snyder,B4858799-64FF-E040-8656-1859C1D6F66D
A234,,Colpomenia,peregrina,United States,,anonymous,7D49BD5D-FE3A-0745-888C-1FA512EB6F3F
A46927,,Colpomenia,peregrina,Canada,1972 May 14,J. R. Stein,64FB8D38-DE89-964E-AC99-08ADA008ED82
A18762,,Colpomenia,peregrina,Canada,[unknown],Robert K.S. Lee,207E4EC1-2041-A84A-9AD9-A4F898A54D20
A3063,,Colpomenia,peregrina,Canada,1944 Jul 09,A.H. Hutchinson,63458221-F9F7-5847-A22E-A45BD8BB8F6D
A3300,,Colpomenia,peregrina,Canada,1945 Aug 08,A.H. Hutchinson,2B4EC089-348B-C84D-8C41-272CA89FF841
A39350,,Colpomenia,peregrina,Canada,1968 Oct 13,Patrick Chamut,4249B76A-FAC2-0448-9B9B-B8CEEC987B21
A42231,,Colpomenia,peregrina,Canada,1969 May 15,Ken Baillie,E6DA124E-AC4E-8B48-8326-8FEC01D2806A
A34115,,Colpomenia,peregrina,Canada,1968 Jun 12,Patrick Chamut,9773F52E-078D-E043-A9AE-BF7ECF495710
A33444,,Colpomenia,peregrina,Canada,1968 May 28,Patrick Chamut,E622FDF0-48F6-7C43-8FE1-79E929F94781
A34868,,Colpomenia,peregrina,Canada,1968 Jul 23,Patrick Chamut,FBBD228A-E2CB-B144-8D38-9830FBD0F3E4
A35125,,Colpomenia,peregrina,Canada,1968 Jul 11,Danny R. Pace,6E9DC7BE-9A5B-6443-B15E-F1F7AD2896DE
A39348,,Colpomenia,peregrina,Canada,1968 Nov 03,Danny R. Pace,248EED96-10B3-3341-B94E-5D2D713053D7
A42302,,Colpomenia,peregrina,Canada,1969 May 17,Ken Baillie,CD888B88-DEAC-9941-AD1A-686B6F17A8BC
A39087,,Colpomenia,peregrina,Canada,1968 Nov 02,Ken Baillie,A2E6446F-4BC0-474D-8904-6DA8032FE52C
A39086,,Colpomenia,peregrina,Canada,1968 Nov 02,Ken Baillie,4EDFAB14-5C71-6D40-B839-B48AA0DF2204
A42705,,Colpomenia,peregrina,Canada,1969 May 31,Ken Baillie,890B7C2C-F814-DD47-BE3C-F7A0EF4AC720
A38447,,Colpomenia,peregrina,Canada,1968 Sep 21,Jim W. Markham,173DF834-F605-0942-B3AE-68FC50BB235D
A34187,,Colpomenia,peregrina,Canada,1968 Jun 24,Patrick Chamut,0B5B27E4-1740-E74C-AA04-1732A54E4712
A34485,,Colpomenia,peregrina,Canada,1968 Jun 13,Ken Baillie,774D67CB-BB4F-F94B-9123-E1FCB3B4F7F0
A35084,,Colpomenia,peregrina,Canada,1968 Jul 22,Ken Baillie,AE3EB20A-42B3-434D-B154-D1862B3927A3
A39732,,Colpomenia,peregrina,Canada,1968 Oct 12,Danny R. Pace,BD045E3C-5FAA-394F-896B-71762A45F6B0
A34958,,Colpomenia,peregrina,Canada,1972 Jul 20,Danny R. Pace,134C6D77-5ABE-0841-935A-DEE89A6E0F2F
A48650,,Colpomenia,peregrina,Canada,1972 Jul 20,B. Patriquem,53FC2ABC-66CA-7547-9A72-5F4D0E432D64
A50104,,Colpomenia,peregrina,Canada,1973 Aug 17,R. D. Hill,9211A70B-4976-8A40-987F-05C4E91F5B97
A231,,Colpomenia,peregrina,Canada,1947 Sep 07,Robert F. Scagel,FE5F547F-0A64-7C45-881C-FBE02C252852
A18702,,Colpomenia,peregrina,Canada,1963 Apr 26,Robert K.S. Lee,64212DA1-E36B-DB45-ADCC-DF34E6EF87AD
A229,,Colpomenia,peregrina,Canada,1947 Jul 16,Robert F. Scagel,37CC3EBC-DBEA-5949-ADF7-7661D7CFA2A9
A7471,,Colpomenia,peregrina,Canada,1959 Aug 05,Robert F. Scagel,18FAAEDF-361D-664C-8668-20F6445FD81C
A3976,,Colpomenia,peregrina,Canada,1959 May 26,Tom B. Widdowson,EEEDC9B0-88FC-2E4B-AA12-D253455CAAFC
A12316,,Colpomenia,peregrina,Canada,1961 Nov 02,Tom B. Widdowson,87BF5CC9-3A5A-DF45-BD6F-EC197D370B85
A42706,,Colpomenia,peregrina,Canada,1969 Jun 01,Ken Baillie,6BC4D9FE-445F-A14D-9C3B-9FFBC780B272
A40026,,Colpomenia,peregrina,Canada,1969 May 08,Ken Baillie,58BEDB75-239F-2C46-A07D-81DB6BF97690
A40027,,Colpomenia,peregrina,Canada,1969 May 18,Ken Baillie,84965949-F149-414B-A888-7F62778BB006
A19751,,Colpomenia,peregrina,Canada,1964 Sep 06,Robert K.S. Lee,EA4C8DAD-1208-7B4D-8658-7E98BA495FCC
A46008,,Colpomenia,peregrina,Canada,1971 Nov 19,Peter R. Newroth,92B9D659-20E1-814B-A492-2B80024F1CB6
A36141,,Colpomenia,peregrina,Canada,1968 Aug 09,Jim W. Markham,01A99319-A928-1D45-93FC-ED506FB5FB1B
A35532,,Colpomenia,peregrina,Canada,1968 Aug 09,Jim W. Markham,8F30F7B2-3063-BF45-8BF2-9C3EE3B9A111
A37383,,Colpomenia,peregrina,Canada,1968 Aug 21,Jim W. Markham,842E9E7D-9B17-434B-BB16-155D231D3C77
A36788,,Colpomenia,peregrina,Canada,1968 Aug 18,Jim W. Markham,173F3C03-3FE6-D34B-8F52-42B0CBB6CC28
A36787,,Colpomenia,peregrina,Canada,1968 Aug 18,Jim W. Markham,2446BC36-0722-C74B-AD43-9B7C4C1CF82F
A36786,,Colpomenia,peregrina,Canada,1968 Aug 18,Jim W. Markham,9D2D5A10-73A4-2D4A-8744-D38E0316505E
A36294,,Colpomenia,peregrina,Canada,1968 Aug 16,Jim W. Markham,DE14FDB7-A1FC-FF48-B049-27D54EBB73F2
A37334,,Colpomenia,peregrina,Canada,1968 Aug 22,Jim W. Markham,23402F57-8421-E747-90BF-BF96BE0DD624
A37538,,Colpomenia,peregrina,Canada,1968 Aug 24,Jim W. Markham,E2D5E943-A654-8440-92E1-1E56E5214073
A37836,,Colpomenia,peregrina,Canada,1968 Aug 30,Jim W. Markham,5810CFB5-0588-2F48-97CC-B11CDDD90260
A38672,,Colpomenia,peregrina,Canada,1968 Sep 04,Jim W. Markham,CBCCF806-E2F9-CA4C-96F8-63078C0FC755
A40836,,Colpomenia,peregrina,Canada,1969 Jun 02,Ken Baillie,E6BA6161-77A9-C949-845A-5E3BF0194419
A40631,,Colpomenia,peregrina,Canada,1969 Jun 02,S. O'brien,3E858880-4268-5A4E-9751-B9D65B5C9305
A40668,,Colpomenia,peregrina,Canada,1969 Jun 12,Ken Baillie,67EA75BB-4436-A04C-8E38-7B3A4B6A2D9B
A40485,,Colpomenia,peregrina,Canada,1969 Jun 17,Danny R. Pace,5E151C79-1F6A-FB41-AEAD-847211B0A7BF
A40906,,Colpomenia,peregrina,Canada,1969 Jun 17,Danny R. Pace,00A1BB9F-DDC4-E645-A212-1FB90C71963B
A41397,,Colpomenia,peregrina,Canada,1969 Jun 26,Ken Baillie,EC8FB314-001A-5D45-B95C-FC3F7A4DF862
A41072,,Colpomenia,peregrina,Canada,1969 Jul 11,Danny R. Pace,CF775017-E58D-5743-BE83-2F77EBA80234
A40907,,Colpomenia,peregrina,Canada,1969 Jun 20,Danny R. Pace,5E2DE332-D3BF-A845-92A4-0FCF916AE205
A41623,,Colpomenia,peregrina,Canada,1969 Jul 17,Ken Baillie,B6728C34-178A-A544-8958-47333F1ACDE4
A41624,,Colpomenia,peregrina,Canada,1969 Jul 17,Ken Baillie,67E767E4-6814-8540-9B7C-1BB1CE5FE689
A43839,,Colpomenia,peregrina,Canada,1970 Sep 17,Danny R. Pace,5F28118C-74F7-AB49-9B28-DC19C470474C
A42421,,Colpomenia,peregrina,Canada,1969 Aug 21,Danny R. Pace,B5F3247D-2D5B-8B44-8E7D-685E9A203C5A
A42403,,Colpomenia,peregrina,Canada,1969 Aug 20,Ken Baillie,82EA02B8-E861-4A41-A79A-8D2B91A30E67
A42062,,Colpomenia,peregrina,Canada,1969 Aug 15,Ken Baillie,572CD076-3E3A-8C49-A84A-FBDBD79F3BA9
A42013,,Colpomenia,peregrina,Canada,1969 Aug 18,Ken Baillie,6BB6AEBD-5955-A04D-8B36-DE417E81E742
A42038,,Colpomenia,peregrina,Canada,1969 Aug 13,Ken Baillie,0F06251B-6CC0-8244-A3E9-8E93787F912A
A41706,,Colpomenia,peregrina,Canada,1969 Jul 25,Ken Baillie,48A94B49-5DDB-234A-B1E4-43A6789A7663
A41691,,Colpomenia,peregrina,Canada,Jul 24 196,Ken Baillie,69CB8EED-F1BF-1A4E-AC4B-F3C636957459
A41831,,Colpomenia,peregrina,Canada,1969 Jul 18,Danny R. Pace,27013833-8D56-2A41-BB68-FF91C22371DD
A42078,,Colpomenia,peregrina,Canada,1969 Aug 12,Danny R. Pace,EAB53656-B8D0-6645-9AC1-1A3BC33AA461
A42063,,Colpomenia,peregrina,Canada,1969 Aug 15,Ken Baillie,69D049BF-2D76-4D46-B7E1-9C6DE52E2265
A31795,,Colpomenia,peregrina,Canada,1967 Sep 03,Ken Baillie,D19B4AA8-A00B-4D48-BCD4-19672CCA3889
A31794,,Colpomenia,peregrina,Canada,1967 Aug 17,Ken Baillie,C1122C90-7DC2-7E44-95CE-F51F26413440
A29064,,Colpomenia,peregrina,Canada,1967 Jul 20,Ken Baillie,6E738FA6-724B-604A-9BF6-42D255C6C90B
A31474,,Colpomenia,peregrina,Canada,1967 Aug 05,Ken Baillie,56E1AC40-2830-E341-AB10-345AFD48D933
A29670,,Colpomenia,peregrina,Canada,1967 May 25,Ken Baillie,94D3058B-F2BE-3B40-AE7F-421C32D5C599
A29470,,Colpomenia,peregrina,Canada,1967 May 13,Ken Baillie,242F42D3-2D81-A34A-A766-909D72D6C4DF
A35282,,Colpomenia,peregrina,Canada,1968 Jul 24,Danny R. Pace,FD598BC8-739B-0F45-A8FA-DF41F1EEDAE8
A45505,,Colpomenia,peregrina,Canada,1971 May 12,Jim W. Markham,79E6C335-0AD3-6946-986C-EBFEADFE18CC
A39349,,Colpomenia,peregrina,Canada,1968 Oct 25,Danny R. Pace,C9BA54D2-BABE-7546-8CE3-4F1698F96996
A38828,,Colpomenia,peregrina,Canada,1968 Oct 25,Danny R. Pace,301842AD-D2B4-8B48-8EC2-E11386D02938
A42859,,Colpomenia,peregrina,Canada,1968 Apr 29,Jim W. Markham,FC2B7329-07D0-9449-B79B-C6D0AF6B6B23
A32777,,Colpomenia,peregrina,Canada,1968 Apr 15,M. Chihara,02975BEF-1732-7C41-BB19-10C21A3D4DA4
A2591,,Colpomenia,peregrina,Canada,1958 Jul 15,Robert F. Scagel,42E997B7-77D8-9E4C-BA24-785846F9D882
A32630,,Colpomenia,peregrina,Canada,1968 Apr 16,M. Chihara,24FDEE26-C658-E946-B164-3998903562B9
A62760,,Colpomenia,peregrina,Canada,1908 May 30,anonymous,D54D29DF-BCDB-6649-AA24-D66B464A1D99
A59471,,Colpomenia,peregrina,Australia,1934 Oct,C. M. Crosby,52B15A85-6025-6E47-B756-EA9570254C65
A59607,,Colpomenia,peregrina,Australia,1912 Sep,Josephine E. Tilden,C466B7BD-E4C8-DC42-B651-061CFFD84F26
A43360,,Colpomenia,peregrina,Australia,1970 Apr 18,J. R. Stein,E452B5C7-8211-784E-A282-1B283081BA65
A50707,,Colpomenia,peregrina,Chile,1965 Jan 25,I. Efford,5C6F11BC-3583-E740-BA12-2AAB15F6914E
A50706,,Colpomenia,peregrina,Chile,1965 Jan 25,I. Efford,579D5773-A98E-5449-A7AF-07F3298A7323
A43095,,Colpomenia,peregrina,Venezuela,1968 Nov 09,E. K. Ganesan,13F65FB2-D651-FB46-B14C-EDAC3FEA75F0
A58974,,Colpomenia,peregrina,Taiwan,1976 Dec 15,J.C.Wang,16FC2CBA-0CDA-D34C-A263-D23AAF9557AE
A59620,,Colpomenia,peregrina,Australia,1912 Sep,Josephine E. Tilden,BF0EE0A8-F2C8-EA4D-8A48-8074A39BA999
A16128,,Colpomenia,peregrina,France,1961 Sep 24,Robert F. Scagel,C5A844E1-5260-B246-A18B-05FF93BA215F
A5473,,Colpomenia,peregrina,Ecuador,"1934 Jan 17-18,30",Wm. R. Taylor,06B73303-2028-BA44-8108-3E9ABB02A14B
A17366,,Colpomenia,peregrina,Bermuda,1950 Dec 07,Albert J. Bernatowicz,09719B1B-F0C3-0843-B707-895F62F48EB7
A7170,,Colpomenia,peregrina,Japan,1957 Nov 10,Robert F. Scagel,865D4822-F78E-444A-AC34-747FE3BED7E5
A56344,,Colpomenia,peregrina,United States,1962 Apr 08,Roy Tsuda,28CF06FA-F0DF-B04B-B49B-F9CFC1972245
A56342,,Colpomenia,peregrina,United States,1955 Oct 15,A.J. Gilmartin,F135204B-A09E-9F4B-8F76-CD544B37EBC1
A7622,,Colpomenia,peregrina,United States,1960 Jul 07,H. J. Humm,E179932B-AB61-4140-AC2E-6E808F00C6B2
A46353,,Colpomenia,peregrina,New Zealand,1937 Aug 22,V. W. Lindauer,9A6F9BAA-BCD1-B241-BEC8-2F4FC2CE9561
A55874,,Colpomenia,peregrina,New Zealand,1935 Feb 14,I. B. Warnock,00700F54-3021-D043-BD40-3FF6F7BDA89D
A55875,,Colpomenia,peregrina,New Zealand,1935 Feb 14,I. B. Warnock,77B2FE6D-A1C8-574F-9985-989C924192E2
A55806,,Colpomenia,peregrina,New Zealand,1935 Feb 17,Lawrence M. Jones,81090EC6-A9AA-794C-A77E-C4DA81C91C2C
A4674,,Colpomenia,peregrina,New Zealand,1943 Nov 01,V. W. Lindauer,D3B92999-3CFE-F74D-A412-C11FB03B3C1F
A5467,,Colpomenia,peregrina,Mexico,1934 Mar 09,Wm. R. Taylor,FA35DB18-1E7D-2043-B9F2-C9E9DA71C31F
A17379,,Colpomenia,peregrina,Bermuda,1951 Jan 22,Albert J. Bernatowicz,30425057-D115-A24D-8DDC-297859EC2FAD
A6074,,Colpomenia,peregrina,United States,1949 Mar 10,Wm. R. Taylor,1B8C7F07-1332-3247-A383-96DBFAEF59B9
A6088,,Colpomenia,peregrina,Bermuda,1949 Nov 23,Wm. R. Taylor,C1ADC53F-713F-A246-9C3B-86235F8BD1DC
A16186,,Colpomenia,peregrina,Australia,1957 Dec 12,Robert F. Scagel,F2426897-B7F3-CD41-B48D-6DB1D27F016C
A2752,,Colpomenia,peregrina,Australia,1957 Dec 13,Robert F. Scagel,F2D0CF8B-7C99-8A44-B85F-DAB23948379C
A63410,,Colpomenia,peregrina,United States,1980 Jun 08,Dennis Lees,B4F0CC9E-3DC9-6C45-ACCB-B29E9AEE7C67
A33498,,Colpomenia,peregrina,United States,1981 Jun 01,Sandra C. Lindstrom,560C0CC2-A8AB-4F4E-AA2D-2FDB3CC3F144
A9101,,Colpomenia,peregrina,Australia,1981 Aug 23,David J. Garbary,D2AFFF55-3747-7245-824F-3ACC56759823
A22317,,Colpomenia,peregrina,Canada,1979 May 27,Herb Vandermeulen,E21AD82E-F726-4F44-9288-470326A9664E
A20642,,Colpomenia,peregrina,Canada,1979,Herb Vandermeulen,DC4127E4-7DB0-3341-9165-7F5461055572
A18788,,Colpomenia,peregrina,Canada,1979 Apr 30,Herb Vandermeulen,FC1F83C6-D5D1-9042-9AFB-2247EE0F4D39
A18758,,Colpomenia,peregrina,Canada,1979 Apr 01,Eric Henry,7F747105-EF63-5140-8CA4-60269ED4840B
A12747,,Colpomenia,peregrina,United States,1979 Sep 08,Herb Vandermeulen,4E01D4AC-DDAD-0F4F-8851-4BB4D32593D5
A21532,,Colpomenia,peregrina,United States,1979 Aug 08,Herb Vandermeulen,B23EC608-C48C-494B-9DC7-39C36967FD7C
A22525,,Colpomenia,peregrina,United States,1979 Aug 08,Herb Vandermeulen,BB0F2B8D-876F-2F40-920F-339E823E37EB
A21069,,Colpomenia,peregrina,United States,1979 Aug 09,Herb Vandermeulen,36167EB5-CC5B-1747-B70D-37FC832C9A42
A21046,,Colpomenia,peregrina,Japan,1982 May 19,Michael W. Hawkes,7BF59483-1D54-C046-88E4-0451C022B348
A67814,,Colpomenia,peregrina,Canada,1984 Jun 13,Sandra C. Lindstrom,DF69F4F5-D266-CD40-BEDD-977E9D1F684A
A67960,,Colpomenia,peregrina,Canada,1973 Aug 15,Sandra C. Lindstrom,3626A8B9-A5A2-1A42-8828-011679D4267A
A67950,,Colpomenia,peregrina,United States,1978 Jul 20,Sandra C. Lindstrom,109D18FD-A20A-8E4D-B96A-CFE1861803A1
A57371,,Colpomenia,peregrina,Canada,1983 Aug 08,David J. Garbary,030266ED-00BC-314F-9B08-3B898004BD6B
A68410,,Colpomenia,peregrina,Canada,1985 Jun 05,S. Lindstrom,85D185D8-41F0-D944-846B-C4CF6690B887
A68482,,Colpomenia,peregrina,United States,"August 27, 19886",P. Gabrielson,CCD7C722-356B-664A-B713-68D78234E04C
A69197,,Colpomenia,peregrina,Australia,1986 Sep 07,H.B.S. Womersley,230712FF-F520-824D-935F-39DEEB8681D4
A69299,,Colpomenia,peregrina,Canada,1987 Aug 07,Sandra C. Lindstrom,BC20CBF5-9663-B944-85FA-AD9C73095E64
A68906,,Colpomenia,peregrina,Canada,1977 Jun 03,Robert F. Scagel,7F837805-9A25-E942-A528-F4951AE687D1
A70633,,Colpomenia,peregrina,Denmark,1988 Sep 01,Ruth Nielsen,1A588195-6524-E140-80E5-08FF4B2542C6
A70718,,Colpomenia,peregrina,United States,1986 Aug 27,Paul W. Gabrielson,CB3C8289-3D71-C848-ABA3-62B483D378AF
A70931,,Colpomenia,peregrina,Canada,1990 Mar 03,J.C.Oliveira,B416A74B-E259-3F46-B60C-88A0B29EF738
A69367,,Colpomenia,peregrina,United States,1987 Nov 21,Sandra C. Lindstrom,03D3FF21-1337-C144-9CFD-E9E9D9276827
A69757,,Colpomenia,peregrina,United States,1981 Jul 02,Sandra C. Lindstrom,DA88AD73-F945-6F47-8794-F8D85B601702
A11159,,Colpomenia,peregrina,Canada,1959 May 23,Tom B. Widdowson,43C68A33-D208-534C-BA2D-C4CB7EBC8FA7
A67053,,Colpomenia,peregrina,Canada,1982 Jul 13,David J. Garbary,35EEFC60-9FBB-484C-84E3-EB5E03B5635B
A67071,,Colpomenia,peregrina,Canada,10/7/1982,David J. Garbary,A018EAE2-0FC2-B44F-A2C0-ED8D419DDE59
A82137,,Colpomenia,peregrina,Canada,1992 Jun 23,Murray Manson,E9FA83BE-A96F-4648-85C6-6E506B9BF8F1
A82482,,Colpomenia,peregrina,Canada,1996 Aug 29,C. Cornish,22B61A0C-F918-9E4B-B55A-DA5066B05018
A84377,,Colpomenia,peregrina,Canada,1999 Jul 28,Keith Pardee,DBDC7AE9-B7D2-964C-9E07-7E73074640EB
A85364,,Colpomenia,peregrina,Canada,2006 May 13,Bob Thompson,E7024E4B-891B-C148-846D-8CB3F33C3B00
A85533,,Colpomenia,peregrina,United States,2005 Jun 22,Mandy R. Lindeberg,D71ABC4F-C310-BF46-87BB-D6EDBCC75A3D
